Na2O_coal ,MgO_coal,Al2O3_coal,SiO2_coal,p2o5_coal,K2O_coal,TiO2_coal,MnO2_coal,Fe2O3_coal,CaO_coal,SO3_coal,na20_flyash,MgO_flyash,Al2O3_flyash,SiO2_flyash,p2o5_flyash,K2O_flyash,TiO2_flyash,MnO2_flyash,Fe2O3_flyash,CaO_flyash,SO3_flyash
0.63,1.55,21.01,30.87,0.17,1.71,0.39,0.08,13.45,17.71,18.65,0.79,1.71,23.56,37.54,0.19,2.53,0.41,0.07,16.01,21.13,2.6625
0.75,1.92,16.38,29.43,0.13,1.8,0.31,0.11,13.59,8.99,15.14,1.69,3.07,14.44,33.62,0.16,2.35,0.33,0.17,16.61,12.54,2.4875
1.26,2.64,10.88,28.45,0.12,1.65,0.25,0.14,15.21,11.62,13.51,1.87,3.46,13.01,34.82,0.14,2.55,0.3,0.19,18.15,14.43,2.526666667
0.43,1.63,17.38,27.26,0.18,2.11,0.34,0.11,14.4,11.12,18.63,1.41,2.98,16.01,31.78,0.23,2.47,0.36,0.16,16.49,12,2.6225
1.01,2.42,12.42,23.45,0.2,1.72,0.29,0.14,14.39,15.97,15.27,1.5,3.1,14.64,30.94,0.21,2.52,0.34,0.18,15.56,21.67,3.12
1.02,2.4,13.4,25.66,0.17,1.68,0.32,0.12,13.52,18.4,19.27,1.39,3.09,15.52,26.87,0.21,2.32,0.34,0.17,16.19,24.71,3.17
0.98,2.47,14.05,24.03,0.16,2.3,0.29,0.14,13.17,15.38,13.78,1.57,3.23,14.19,28.06,0.21,2.33,0.32,0.18,16.19,18.99,3.125
0.64,1.88,19.17,30.32,0.17,1.62,0.36,0.1,12.14,18.04,11.8,0.88,2.33,20.21,30.55,0.2,2.29,0.38,0.14,16.07,26.46,1.98
0.92,2.29,13.1,25.99,0.19,2.46,0.26,0.16,13.36,16.03,14.27,1.37,3.17,15.15,33.17,0.27,2.78,0.31,0.18,15.7,20.23,2.395
0.59,1.65,19.65,24.56,0.19,2.11,0.36,0.1,12.96,18.68,14.23,0.7,2.02,21.15,29.08,0.24,2.64,0.4,0.12,15.37,22.64,2.6375
0.58,1.69,19.53,32.63,0.18,1.62,0.36,0.1,13.08,17.6,11.22,0.77,2.02,20.64,30.37,0.22,2.19,0.39,0.12,16.19,23.56,2.2025
1.13,2.59,8.8,24.06,0.16,2.1,0.2,0.14,13.63,16.89,16.75,1.73,3.67,10.82,28.45,0.25,2.46,0.26,0.19,17.26,23.04,2.2975
1.28,2.72,10.99,38.45,0.14,2.02,0.26,0.15,10.21,21.28,16.71,1.96,3.82,13.6,38.66,0.21,2.63,0.32,0.19,12.8,29.79,2.865
1.26,2.59,10.71,29.92,0.18,1.7,0.24,0.14,13.13,18.25,15.4,1.84,3.78,13.33,35.29,0.25,2.4,0.32,0.18,14.58,25.77,2.325
1.27,2.76,10.71,24.96,0.19,1.84,0.25,0.13,12.41,9.54,15.73,1.9,3.82,13.21,29.22,0.17,2.35,0.3,0.18,15.22,14.53,2.0275
1.14,2.42,12.18,30.95,0.14,1.8,0.28,0.13,12.19,13.69,17.04,1.85,3.57,14.39,32.7,0.17,1.96,0.32,0.19,15.04,22.14,2.43
1.28,3.09,7.74,27.88,0.15,2.02,0.18,0.19,12.03,14.27,13.78,2.23,4.64,9.27,32.76,0.18,2.67,0.23,0.26,15.31,22.99,2.3425
1.16,2.79,10.39,25.66,0.13,1.82,0.21,0.14,12.82,21.48,19.32,1.76,3.65,12.58,31.98,0.15,2.02,0.29,0.17,15.83,14.26,1.715
1.23,2.69,11.04,26.82,0.12,2.17,0.27,0.14,12.74,11.48,18.62,1.77,3.59,14,28.85,0.17,2.61,0.31,0.19,16.62,21.78,3.055
1.07,2.48,12.6,24.32,0.14,1.75,0.25,0.13,12.76,15.91,16.02,1.8,3.74,11.32,23.6,0.2,2.59,0.28,0.18,16.42,22.29,3.445
1.11,2.27,16.21,28.94,0.15,1.92,0.31,0.11,13.36,12.45,22.78,1.66,3.6,14.93,32.71,0.21,2.44,0.33,0.18,16.98,16.96,4.8425
1.15,2.98,10.22,26.44,0.15,2.15,0.22,0.14,13.34,14.32,18.73,1.59,3.66,13.59,25.72,0.19,2.3,0.3,0.2,16.75,18.35,4.675
1.13,2.91,10.28,25.35,0.1,1.84,0.23,0.15,14.86,14.68,22.31,0.99,2.72,17.63,31.26,0.15,2.53,0.37,0.13,15.7,20.21,4.4025
0.75,2,16.73,24.7,0.13,1.98,0.34,0.09,14.63,14.85,21.82,0.79,2.22,19.21,34.1,0.16,2.71,0.38,0.11,15.3,19.84,4.6125
0.59,1.82,16.44,27.4,0.14,2.21,0.33,0.09,14.06,16.2,17.08,0.89,2.34,16.85,31.5,0.16,2.82,0.37,0.11,15.84,19.61,3.445
0.92,2.01,17.55,27.57,0.15,0.69,0.31,0.1,13.8,5.08,15.66,1.14,2.5,19.22,30.64,0.17,2.56,0.38,0.11,16.07,11.84,3.1725
0.78,2.04,16.36,26.84,0.16,2.26,0.3,0.09,12.48,10.09,21.76,1.43,2.96,16.67,31.33,0.18,2.43,0.32,0.14,15.52,12.71,4.32
1.22,2.69,14.71,28.76,0.14,2.1,0.33,0.12,13.8,11.99,22.21,1.64,3.34,16.29,33.45,0.15,2.7,0.36,0.16,15.55,14.13,4.005
1.13,2.49,13.95,34.5,0.16,1.75,0.32,0.12,12.14,10.35,24.47,1.68,3.12,16.01,37.62,0.19,2.79,0.36,0.17,14.04,12.48,4.0675
1.09,2.32,13.31,13.09,0.18,1.9,0.3,0.1,16.51,12.41,21.53,1.55,3.25,15.4,30.85,0.22,2.53,0.35,0.15,17.18,18.22,3.915
0.53,1.32,19.95,33.26,0.18,2.11,0.37,0.06,12.54,11.59,23.59,1.17,2.38,18.84,31.79,0.25,2.48,0.38,0.14,17.02,14.93,3.825
0.74,1.86,19.28,29.66,0.2,1.91,0.36,0.13,12.59,11.16,22.21,1.1,2.31,21.19,34.48,0.27,2.44,0.39,0.17,16.67,13.74,4.9225
0.8,2.11,16.69,25.57,0.19,2.05,0.37,0.14,13.25,13,20.98,1.09,2.44,20.19,35.93,0.2,2.62,0.43,0.16,15.01,16.65,4.3175
0.73,1.73,20.98,28.01,0.17,2.48,0.4,0.11,12.71,19.16,23.33,0.96,2.5,21.19,38.42,0.22,2.51,0.42,0.12,14.65,23.39,5.515
0.69,1.82,18.26,30.67,0.19,2.4,0.32,0.11,12.43,18.01,23.78,0.9,2.19,20.53,29.84,0.18,2.06,0.36,0.13,17.28,23.86,5.3825
0.67,1.57,18.87,28.27,0.15,2.2,0.36,0.08,13.06,20.96,23.43,0.76,2.02,22.72,31.5,0.2,2.27,0.42,0.11,16.18,25.46,6.1525
0.62,1.78,18.19,30.04,0.16,2.13,0.34,0.12,12.45,18.18,25.6,0.92,2.16,20.99,33.65,0.17,2.36,0.38,0.13,15.34,24.73,6.125
1.1,2.07,13.86,37.55,0.13,2.26,0.28,0.16,10.88,21.96,25.74,1.49,2.67,17.59,30.66,0.23,2.09,0.35,0.18,16.51,23.27,4.3025
1.07,2.02,13.48,36.93,0.18,1.96,0.29,0.15,11.18,17.98,21.09,1.91,3.42,12.86,26.98,0.21,2.53,0.28,0.22,17.86,22.17,3.73
1.27,2.38,11.2,31.87,0.15,2.08,0.27,0.15,11.64,15.35,19.75,1.7,3.41,15.23,28.75,0.22,2.71,0.32,0.2,16.63,18.86,4.9975
0.84,1.9,15.27,32.32,0.19,1.6,0.32,0.11,12.4,17.65,21.7,1.6,2.79,16.13,30.15,0.2,2.13,0.35,0.2,17.44,20.57,3.8775
1.09,2.27,15.72,33.18,0.21,2.28,0.32,0.15,12.72,14.95,22.01,1.7,3.12,16.35,26.6,0.24,2.2,0.36,0.21,18.24,19.18,4.485
0.97,2.17,16.97,29.2,0.18,2.15,0.33,0.12,13.19,14.97,25.08,1.44,2.66,18.27,32.91,0.22,2.4,0.38,0.14,16.37,19.39,4.4475
1.24,2.26,15.69,31.73,0.16,2.12,0.3,0.12,12.45,13.88,22.98,1.55,3.05,18.42,35.94,0.21,2.48,0.37,0.16,16.44,18.5,3.955
1.02,2.03,17.08,22.94,0.15,2.05,0.34,0.11,13.56,17.61,20.15,1.44,2.71,19.21,24.57,0.18,2.69,0.38,0.13,17.04,15.77,3.785
1.88,2.21,16.27,33.87,0.15,2,0.48,0.19,11.68,14.84,22.57,1.61,3.11,17.38,27.73,0.2,2.52,0.36,0.18,17.03,18.85,4.09
0.94,2.08,15.44,31.93,0.18,1.93,0.36,0.1,12.21,13.82,23.45,1.21,2.72,18.09,32.31,0.21,2.37,0.44,0.15,15.99,15.94,3.465
0.87,2.22,15.36,31.83,0.13,1.69,0.35,0.14,13.14,14.05,22.55,1.44,2.93,19.58,32.31,0.15,2.32,0.41,0.2,15.08,18.77,3.48
1.54,2.82,11.89,30.26,0.14,1.71,0.29,0.17,13.13,18.91,21,0.97,2.74,17.31,34.12,0.16,2.25,0.41,0.18,16.14,22.41,3.165
1.67,2.16,15.8,30.6,0.15,1.65,0.35,0.2,13.72,13.59,22.22,1.29,2.68,18.09,33.69,0.19,2.06,0.39,0.18,16.47,22.4,3.405
0.98,2.2,14.36,29.7,0.15,1.75,0.28,0.14,14.05,14.22,19.42,1.51,2.84,17.49,32.73,0.19,2.3,0.42,0.17,16.74,16.62,2.86
0.9,2.07,18.09,25.94,0.17,1.58,0.37,0.1,14.35,13.55,21.69,1.13,2.98,18.18,31.08,0.21,2.09,0.45,0.15,16.45,15.1,2.9925
0.94,2.04,17.21,25.6,0.17,2.04,0.33,0.12,13.59,18.58,18.82,2.08,2.36,19.71,29.7,0.17,2.7,0.45,0.2,16.04,18.91,3.07
0.91,1.86,13.44,24.97,0.15,2.02,0.35,0.16,14.65,16.97,20.44,2.21,2.63,18.4,27.51,0.21,2.65,0.41,0.19,18.47,18.06,3.57
0.84,1.91,13.88,27.03,0.16,1.84,0.32,0.15,13.9,16.32,23.92,1.09,2.48,16.09,30.5,0.18,2.35,0.35,0.18,17.04,20.99,3.6125
0.84,1.95,16.24,26.02,0.17,1.91,0.36,0.11,13.54,13.38,16.71,1.04,2.36,18.6,28.33,0.19,2.36,0.41,0.15,16.67,16.73,3.9325
0.86,2.16,16.83,31.21,0.14,1.34,0.33,0.12,12.51,17.14,22.74,1.1,2.46,17.69,37.05,0.18,1.79,0.38,0.19,14.45,22.15,4.005
0.86,2.02,17.28,30,0.13,2.25,0.37,0.14,12.88,13.62,20.13,1.23,2.58,18.76,33.88,0.16,2.4,0.39,0.17,15.51,17.27,3.455
0.93,2.04,14.69,27.37,0.17,1.65,0.31,0.13,13.09,15.44,22.64,1.44,2.89,16.05,29.52,0.22,2.03,0.36,0.18,16.25,20.28,3.92
0.88,2.16,14.26,30.03,0.19,1.51,0.31,0.16,13.48,17.84,19.16,1.36,3.08,15.26,32.96,0.18,2.32,0.34,0.22,16.66,20.98,3.3025
0.85,2.19,17.87,23.76,0.15,2.61,0.35,0.13,12.4,16.2,17.73,1.38,2.66,18.26,25.18,0.21,2.78,0.4,0.19,16.25,22.16,3.025
1.02,2.37,15.36,39.6,0.19,2.06,0.32,0.12,9.38,17.74,22.42,1.49,3.3,15.93,37.41,0.21,2.06,0.41,0.19,13.06,23.81,4.42
0.84,2.17,19.97,29.44,0.19,1.35,0.41,0.12,12.79,14.31,19.94,1.08,2.52,18.14,32.38,0.21,1.87,0.41,0.19,14.5,17.97,3.1175
0.87,2.37,16.77,27.14,0.22,2.11,0.34,0.14,11.67,13.98,18.78,1.34,3.4,16.8,32.85,0.25,2.04,0.39,0.19,16.26,19.94,3.1625
1.02,2.45,16.76,44.6,0.17,1.55,0.39,0.14,10.19,16.73,18.37,1.19,2.52,18.27,45.69,0.19,2.04,0.41,0.17,12.2,17.22,3.02
0.76,1.86,19.81,36.52,0.2,1.65,0.41,0.12,10.39,12.17,19.49,1.11,2.25,21.32,32.41,0.23,2.02,0.43,0.15,14.91,15.37,3.1325
0.88,2.16,13.67,25.42,0.19,1.75,0.34,0.16,12.35,16.36,21.38,1.26,2.94,16.38,27.83,0.2,2.28,0.41,0.18,15.02,20.93,4.6275
0.93,2.31,15.07,39.6,0.2,2.41,0.32,0.15,9.48,13.37,19.58,1.57,2.88,15.91,33.47,0.25,2.67,0.39,0.19,13.71,22.59,3.345
0.7,1.98,17.82,29.9,0.18,1.77,0.37,0.12,11.82,17.31,17.87,1.05,2.48,18.21,34.1,0.19,2.34,0.42,0.18,14.24,22.48,3.045
0.77,2.1,16.88,31.75,0.2,2.5,0.4,0.13,11.42,13.52,13.83,0.94,2.43,19.71,34.63,0.24,2.79,0.49,0.15,13.63,20.86,2.843333333
0.96,2.05,16.53,32.08,0.14,2.27,0.39,0.14,11.61,16.14,15,0.98,2.34,19.9,33.21,0.16,2.65,0.5,0.15,14.75,17.87,3.84
0.72,2.11,13.61,41.52,0.14,2.33,0.37,0.17,10.42,16.46,16.65,0.86,2.73,17.68,42.74,0.14,2.83,0.46,0.18,12.66,15.08,2.22
0.6,1.97,16.12,29.88,0.18,1.66,0.35,0.1,12.67,22.36,22.31,0.66,2.39,19.8,35.39,0.21,2.13,0.43,0.13,15.21,24.28,3.555
0.74,2.25,13.48,43.05,0.21,1.37,0.32,0.16,11.47,16.06,18.5,0.88,2.68,18.05,44.49,0.24,1.83,0.42,0.17,13.67,16.97,2.675
0.74,2.49,13.47,37.83,0.19,1.91,0.29,0.14,11.93,21.79,20.28,0.83,2.36,19.51,42.07,0.22,2.42,0.43,0.14,13.68,27.23,2.955
0.67,2.13,11.81,38.86,0.21,1.46,0.27,0.15,11.88,19.24,21.34,1.16,2.66,14.59,44.6,0.22,1.84,0.34,0.18,13.69,20.09,3.0825
0.74,1.85,15.64,29.99,0.16,1.69,0.37,0.13,12.88,18.57,20.18,1.04,2.63,19.61,33.99,0.22,2.3,0.44,0.17,16.27,22.13,3.215
0.85,2.1,14.72,24,0.23,1.3,0.29,0.17,14.13,15.45,18.66,1.22,2.83,16.51,28.11,0.27,2,0.36,0.21,17.77,18.58,2.7775
0.74,1.68,18.4,31,0.23,1.46,0.37,0.12,13.4,16.87,17.97,0.89,2.12,20.61,37.3,0.27,1.97,0.43,0.17,15.49,22.24,3.205
0.65,1.76,18.72,27.68,0.17,1.59,0.38,0.11,12.54,11.33,17.78,0.82,2.13,22.74,28.86,0.14,2.14,0.48,0.11,16.62,14.72,2.7725
0.65,2.28,12.77,30.65,0.13,1.32,0.27,0.14,12.55,12.71,19.4,0.96,3.21,15.04,36.5,0.17,1.61,0.33,0.19,15.28,10.76,2.93
0.69,2.21,14.64,25.72,0.13,1.41,0.34,0.15,14,18.24,11.9,0.97,2.82,15.36,33.19,0.16,1.93,0.36,0.21,16.09,25.38,3.2325
0.77,2.35,11.06,29.45,0.15,2.3,0.26,0.12,12.72,22.36,15.46,0.96,2.76,16.95,32.64,0.16,2.45,0.38,0.18,16.41,29.09,2.7025
0.64,1.93,15.86,27.47,0.17,1.92,0.37,0.16,13.49,22.86,19.12,0.97,2.64,17.68,31.85,0.17,2.21,0.47,0.2,16.9,31.04,4.085
0.69,1.9,13.74,25.08,0.18,1.96,0.32,0.15,12.77,18.01,17.63,0.81,2.74,18.97,25.91,0.2,2.04,0.43,0.19,16.75,17.04,4.2025
1,2.52,13.38,26.34,0.16,1.35,0.31,0.17,13.02,16.11,17.4,1.42,3.68,14.33,29.98,0.18,2.67,0.36,0.22,16.82,21.7,2.91
0.87,2.37,11.74,39.88,0.17,2.16,0.26,0.17,11.66,20.52,19.4,1.32,3.58,14.8,41.03,0.19,2.18,0.34,0.21,14.95,25.09,3.08
0.75,1.87,18.62,34.32,0.17,1.58,0.41,0.13,11.68,23.61,23.69,0.65,1.9,22.37,36.04,0.22,1.84,0.49,0.13,14.92,26.14,3.0175
0.78,1.74,18.51,36.1,0.16,2.02,0.37,0.13,10.59,13.68,23.28,0.93,2.06,20.48,34.06,0.16,2.51,0.44,0.14,14.84,12.96,3.1075
0.73,1.74,16.92,24.93,0.17,1.83,0.35,0.14,12.14,11.77,20.71,1.04,2.19,19.35,45.96,0.22,2.32,0.42,0.18,11.03,13.32,3.43
0.63,2.06,18.3,38.83,0.16,1.76,0.46,0.12,10.7,13.23,20.69,0.73,1.94,21.51,37.04,0.19,2.09,0.47,0.13,13.18,17.68,2.88
0.69,1.85,15.75,31.17,0.17,1.64,0.33,0.13,12.01,15.02,25.03,1.04,1.97,17.34,33.93,0.19,2.18,0.29,0.1,16.3,13.39,3.31
0.83,2,13.54,37.3,0.17,1.54,0.28,0.17,10.64,16.27,17.31,1.69,2.36,17.43,41.47,0.19,2.25,0.3,0.14,12.41,15.96,3.335
0.61,1.75,12.81,33.18,0.15,2.47,0.28,0.14,11.92,18.68,18.13,1.53,2.78,15.29,37.6,0.16,2.67,0.36,0.12,15.12,17.74,2.86
0.66,1.68,17.29,32.88,0.16,2.74,0.37,0.13,11.74,18.12,22.84,0.98,2.32,18.75,36.3,0.19,3.02,0.49,0.18,14.85,21.28,4.015
0.84,1.85,15.89,31.12,0.22,2.47,0.33,0.14,12.65,15.96,16.47,0.83,2.44,18.68,36.2,0.23,2.91,0.36,0.17,15.14,18.08,3.1975
0.72,1.93,14.88,28.46,0.18,2.68,0.33,0.14,13.33,16.41,21.67,0.99,2.63,18.27,36.13,0.23,3.16,0.39,0.16,15.44,20.58,2.89
0.65,1.87,16.2,44.63,0.2,2.48,0.37,0.14,8.92,16.34,17.13,0.96,2.3,18.94,45.73,0.21,2.91,0.45,0.16,12.16,23.72,3.0675
0.75,1.89,14.93,40.04,0.16,2.46,0.32,0.14,9.92,16.59,17.9,1.17,2.45,16.42,42.5,0.2,2.82,0.41,0.24,11.24,21.43,2.8875
0.6,1.69,17.74,36.37,0.17,2.41,0.41,0.12,11.09,17.01,18.07,0.77,2.16,19.54,40.67,0.2,2.92,0.43,0.15,12.48,20.63,3.2825
0.58,1.74,16.95,39.41,0.21,2.27,0.36,0.15,9.78,13.93,22.36,0.75,2.61,18.2,43.33,0.25,2.77,0.44,0.2,11.08,17.54,3.41
0.63,1.9,16.69,37.38,0.15,1.79,0.37,0.16,9.31,16.11,18.39,0.88,2.14,21.84,40.37,0.24,2.39,0.46,0.15,11.53,21.65,2.88
0.64,1.98,16.66,37.37,0.19,1.84,0.37,0.16,11.67,16.6,22.29,0.73,1.89,21.31,40.76,0.24,2.33,0.47,0.16,13.56,13.84,2.9025
0.7,2.01,15.71,36.03,0.16,1.54,0.32,0.13,12.9,16.72,21.07,0.88,2.38,19.43,40.07,0.2,2.09,0.42,0.16,15.56,15.5,2.755
0.73,1.94,15.47,34.17,0.18,1.73,0.3,0.14,12.16,16.47,19.67,1.08,2.49,19.13,38.69,0.2,2.12,0.4,0.17,14.33,22.86,3.12
0.7,2.12,14.84,27.21,0.17,1.32,0.31,0.11,12.75,15.42,18.11,0.99,2.56,17.45,31.71,0.2,2.31,0.38,0.14,15.2,18.35,3.25
0.73,2.89,12.28,27.75,0.2,1.84,0.3,0.18,12.59,17.32,17.25,0.9,2.78,16.67,31.64,0.23,2.49,0.39,0.22,15.57,21.64,2.94
0.61,2.29,13.41,23.51,0.16,2.01,0.33,0.13,13.72,20.97,18.62,0.88,2.9,15.07,28.19,0.19,2.47,0.4,0.18,16.46,23.6,2.8225
0.62,2.37,12.33,27.38,0.18,1.88,0.3,0.16,13.32,20.71,19.2,0.83,2.85,15.07,29.29,0.23,2.52,0.36,0.18,17.4,26.84,2.9475
0.59,1.86,16.02,21.83,0.2,2.07,0.35,0.13,14.35,23,17.9,1.59,3.08,16.46,32.16,0.22,2.47,0.43,0.19,15.61,15.53,2.9475
1.19,2.16,13.28,27.52,0.16,2.12,0.32,0.15,12.14,16.38,14.47,1.26,2.47,18.02,33.73,0.19,2.56,0.44,0.17,15.72,23.46,2.5525
0.8,2.13,13.04,30.96,0.17,2.11,0.28,0.12,12.55,18.81,17.89,1.24,2.7,15.57,35.15,0.22,2.53,0.35,0.18,15.35,19.22,2.9875
0.75,1.8,17.82,28.71,0.2,2.84,0.37,0.11,12.92,20.34,20.86,1.31,2.88,16.29,33.71,0.23,2.77,0.37,0.18,16.21,26.26,3.335
0.86,1.83,16.46,29.28,0.2,1.94,0.34,0.1,14.76,18.81,22.26,0.96,2.52,17.87,33.78,0.22,2.85,0.36,0.14,17.13,23.67,2.57
0.52,1.98,14.37,32.65,0.16,2.31,0.36,0.11,11.77,18.85,21.55,0.85,2.45,16.86,34.39,0.2,2.98,0.39,0.16,16.1,23.1,3.2675
0.8,2.28,13.25,33.01,0.2,2.17,0.3,0.13,12.38,18.93,18.4,1.04,2.53,16.54,35.25,0.18,2.85,0.37,0.18,15.04,22.42,3.8225
0.93,2.45,13.37,25,0.17,2.11,0.31,0.14,14.06,22.86,14.88,1.13,2.46,17.41,38.81,0.2,3.01,0.38,0.17,14.99,30.79,3.24
0.65,1.88,12.65,31.45,0.17,2.24,0.31,0.15,13.28,15.76,20.06,0.9,2.79,12.34,35.17,0.17,2.69,0.32,0.19,15.39,20.26,3.34
0.78,2.05,15.41,34.47,0.23,2.13,0.33,0.13,13.08,18.97,18.9,1.1,2.52,17.7,39.67,0.18,2.75,0.38,0.18,14.25,24.98,3.18
0.85,1.81,13.61,33.58,0.17,2.15,0.3,0.15,13,21.07,18.31,1.49,2.73,14.56,35.49,0.23,2.76,0.34,0.2,15.66,24.15,2.65
0.56,1.57,11.94,26.08,0.18,1.97,0.37,0.17,13.32,18.63,17.28,1.03,2.71,16.84,32.99,0.15,2.4,0.39,0.18,15.63,22.16,3.12
1.02,2,12.14,33.2,0.16,2.29,0.33,0.15,14.4,17.64,20.07,0.94,2.62,18.19,31.6,0.19,2.64,0.39,0.17,16.61,16.62,3.17
0.81,1.85,13.98,31.83,0.15,2.08,0.34,0.14,13.28,20.32,17.28,1.24,2.58,18.01,32.89,0.2,2.54,0.37,0.18,18.19,22.14,2.6375
0.61,1.67,12.84,32.19,0.17,2.25,0.37,0.16,14.03,18.67,20.67,1.25,2.76,16.4,34.77,0.19,2.69,0.36,0.18,17.48,23.1,3.54
0.87,2.03,13.93,24.66,0.14,2.04,0.31,0.12,17.25,15.29,20.15,0.95,2.62,17.24,29.87,0.18,2.61,0.38,0.18,19.04,21.15,2.8175
1.09,2.25,14.68,30.58,0.13,2.2,0.37,0.14,15.58,27.13,15.84,1.14,2.59,17.46,33,0.18,2.71,0.42,0.19,17.11,20.99,2.7975
0.99,3.64,5.37,28.98,0.14,2.08,0.13,0.15,15.78,13.99,20.12,1.45,2.8,17.97,30.49,0.2,2.52,0.44,0.18,21.3,24.54,3.13
0.83,1.97,17.35,32.66,0.17,1.98,0.38,0.12,14.79,16.2,21.47,1.39,3.07,16.6,35.38,0.22,2.63,0.39,0.2,17.23,20.22,3.015
0.51,2.11,15.45,29.37,0.14,1.99,0.35,0.13,13.8,20.57,17.49,0.99,2.65,18.36,32.47,0.19,2.44,0.43,0.15,16.88,22.5,2.835
0.65,2.09,12.79,31.99,0.15,1.97,0.26,0.14,13.66,16.02,18.12,1.05,2.52,19.14,36.52,0.18,2.53,0.42,0.15,16.75,18.92,2.5925
0.63,2.04,15.26,30.21,0.15,2.32,0.3,0.12,13.34,17.18,17.79,0.77,2.76,18.95,33.25,0.21,2.93,0.39,0.15,15.96,22.27,3.135
0.64,2.03,16.06,27.95,0.14,2.29,0.34,0.12,13.79,16.86,17.05,1.43,2.73,20.06,32.79,0.2,2.66,0.43,0.43,16.89,21.62,2.43
1.03,2.26,14.99,27.77,0.15,1.82,0.37,0.15,14.81,16.94,26.58,1.32,2.89,16.9,29.52,0.17,2.79,0.4,0.19,19.49,23.68,3.08
0.91,2.08,15.33,26.41,0.19,2.34,0.37,0.14,14.46,12.35,16.25,1.32,2.56,17.15,30.05,0.22,2.78,0.39,0.2,18.33,20.51,2.6825
0.68,2.16,15.53,32.83,0.18,2.03,0.31,0.12,12.94,12.89,18.92,1.51,2.86,16.16,36.23,0.21,2.39,0.39,0.18,15.45,24.4,2.5825
0.64,1.97,18.62,30.91,0.17,2.26,0.37,0.1,14.04,12.52,18.95,1.58,2.82,16.9,32.17,0.17,2.54,0.41,0.18,18.41,24.79,2.605
0.58,1.75,19,29.73,0.16,2.08,0.39,0.11,15.47,16.92,16.64,1.2,2.82,16,35.24,0.2,2.21,0.37,0.19,16.85,25.53,3.0875
0.75,2.01,18.36,33.83,0.15,2.29,0.37,0.11,14.06,12.81,17.13,1.64,2.97,14.74,37.39,0.19,2.6,0.37,0.2,16.22,22.32,2.31
0.64,1.96,16.33,30.22,0.16,2.18,0.34,0.13,13.55,14.89,16.05,1.17,2.85,15.28,33.82,0.19,2.69,0.33,0.18,15.91,22.79,2.365
0.77,2.32,17.95,31.54,0.15,2.18,0.35,0.1,14.47,13.7,18.67,1.77,3.11,15.61,31.07,0.2,2.86,0.37,0.2,17.88,24.32,2.8325
0.92,2.1,16.07,27.19,0.15,1.83,0.33,0.12,14.94,17.58,14.97,1.34,2.56,18.21,29.75,0.22,2.28,0.39,0.17,18.76,21.9,2.375
0.63,1.81,17.52,33.55,0.16,2.09,0.35,0.12,11.7,16.55,19.28,1.86,3.03,14.1,36.6,0.2,2.65,0.34,0.21,14.01,20.33,2.405
0.95,2.1,14.54,34.4,0.17,1.9,0.36,0.15,12.49,23.2,20.2,1.21,2.74,16.89,38.85,0.2,2.4,0.42,0.19,13.82,30.53,2.59
0.79,1.76,15.35,31.84,0.18,1.7,0.34,0.14,12.82,15.07,20.96,1,2.36,17.5,41.23,0.2,2.69,0.43,0.19,13.64,22.59,2.545
0.95,2.18,11.31,28.82,0.15,1.54,0.26,0.17,11.95,15.48,20.75,1.59,3.15,12.21,37.42,0.2,2.19,0.3,0.22,13.13,15.41,2.99
0.69,1.84,16.82,31.92,0.16,2.28,0.36,0.13,12.52,14.31,21.77,1.37,2.89,15.12,39.76,0.23,2.5,0.36,0.2,13.68,23.41,2.74
0.62,2.23,16.5,27.21,0.18,2.02,0.35,0.13,12.36,16.08,19.61,0.91,2.39,20.26,31.82,0.22,2.6,0.42,0.16,14.14,21.55,2.8975
0.69,2.12,16.73,25.1,0.18,2.45,0.33,0.12,13.51,16.25,16.76,1.3,3.26,15.69,36.77,0.2,3.18,0.38,0.18,14.42,20.99,2.615
0.65,1.95,14.9,30.93,0.15,2.41,0.37,0.14,12.93,14.62,20.43,1.06,2.64,17.2,39.82,0.2,3.07,0.41,0.19,13.73,19.49,3.245
0.86,2.21,15.57,37.46,0.16,1.77,0.33,0.16,11.33,19.23,20.93,1.19,2.88,17.73,41.03,0.16,2.43,0.36,0.21,12.41,24.21,3.0875
1.17,2.17,15.6,29,0.15,1.95,0.36,0.13,13.91,21.1,17.22,0.75,2.11,19.25,33.68,0.19,2.16,0.39,0.16,16.73,26.48,3.0225
1.06,2.03,13.48,33.94,0.15,1.49,0.33,0.14,15.18,17.94,19.64,1.73,2.79,15.6,38.04,0.19,2.12,0.37,0.18,17.54,23.46,2.025
0.83,1.97,13.19,35.41,0.16,2.2,0.31,0.15,12.47,13.55,12.55,1.28,2.5,15.32,44.49,0.2,2.76,0.37,0.18,12.62,19.42,2.72
1.34,2.23,12.88,24.56,0.18,1.85,0.31,0.14,15.2,15.08,9.18,1.87,3.06,14.75,27.97,0.19,2.5,0.36,0.19,19.11,24.56,2.965
0.9,1.9,11.81,21.15,0.18,1.88,0.3,0.16,14.47,19.13,17.67,1.24,2.69,14.92,27.44,0.2,2.32,0.36,0.2,16.71,33.98,3.4
0.75,1.92,15.62,23.5,0.17,1.61,0.35,0.13,13.18,14.76,11.16,1.04,2.59,17.6,26.98,0.22,2.52,0.38,0.17,16.51,19.28,3.2175
