Na2O_coal ,MgO_coal,Al2O3_coal,SiO2_coal,p2o5_coal,K2O_coal,TiO2_coal,MnO2_coal,Fe2O3_coal,CaO_coal,SO3_coal,na20_flyash,MgO_flyash,Al2O3_flyash,SiO2_flyash,p2o5_flyash,K2O_flyash,TiO2_flyash,MnO2_flyash,Fe2O3_flyash,CaO_flyash,SO3_flyash
0.7,2.01,15.71,29.77,0.16,2.11,0.32,0.13,13.31,16.47,20.8,0.87,2.58,17.82,34.76,0.2,2.85,0.39,0.18,15.77,21.54,4.0775
0.73,1.94,15.47,30.64,0.22,2.09,0.3,0.14,12.94,15.42,19.9,0.96,2.46,19.26,35,0.26,2.76,0.38,0.16,15.2,17.94,3.2875
0.7,2.12,14.84,29.95,0.18,2.05,0.31,0.11,13.18,17.32,20.97,1.03,2.54,17.02,33.56,0.22,2.66,0.38,0.16,15.22,22.5,3.615
0.73,2.89,12.28,28.81,0.2,2.05,0.3,0.18,13.97,20.97,22.01,0.9,2.79,15.97,34.48,0.23,2.69,0.39,0.24,16.31,25.69,3.6225
0.61,2.29,13.41,28.45,0.16,2.43,0.33,0.13,13.35,20.71,22.92,0.8,2.79,15.06,31.52,0.21,2.94,0.36,0.17,16.09,26.68,4.7275
0.62,2.37,12.33,34.76,0.17,2.18,0.3,0.16,12.17,23,14.58,0.77,2.73,15.11,39.66,0.18,2.74,0.36,0.19,13.67,27.53,2.3575
0.59,1.86,16.02,31.54,0.21,2.29,0.35,0.13,12.49,16.38,19.15,1.68,2.89,15.77,35.68,0.25,2.64,0.39,0.2,14.72,23.58,3.16
1.19,2.16,13.28,34.6,0.15,2.64,0.32,0.15,12.48,18.81,19.06,1.19,2.43,18.08,38.24,0.27,3,0.44,0.18,13.81,19.72,3.325
0.8,2.13,13.04,37.04,0.18,2.25,0.28,0.12,12.33,20.34,19.88,1.07,2.58,15.92,42.9,0.22,2.81,0.33,0.16,13.03,25.69,3.365
0.75,1.8,17.82,32.4,0.15,2.25,0.37,0.11,13.02,12.77,22.44,1.24,2.7,15.81,37.78,0.15,2.94,0.35,0.17,14.41,24.64,4.975
1.19,2.19,12.94,30.79,0.17,1.92,0.31,0.15,13.47,19.09,20.7,1.71,2.71,15.85,39.12,0.21,2.66,0.38,0.21,14.23,24.47,3.71
0.71,1.74,19.45,26.56,0.19,2.28,0.42,0.09,13.83,12.47,15.64,0.86,1.89,21.47,34.26,0.22,2.68,0.45,0.1,14.62,14.6,2.24
0.92,1.92,16.05,31.73,0.19,2.34,0.31,0.13,13.14,14.65,15.21,1.18,2.3,18.83,37.64,0.21,2.76,0.39,0.13,15.21,19.77,1.8825
1.1,2.04,12.02,33.1,0.16,2.1,0.31,0.14,13.01,21.53,15.24,1.6,2.7,14.23,35.88,0.19,2.67,0.37,0.19,14.79,28.16,1.9575
0.86,1.83,16.46,30.25,0.18,2.05,0.34,0.1,13.06,16.09,20.17,1.05,2.38,18.09,34.07,0.2,2.75,0.36,0.15,15.95,21.21,4.145
0.52,1.98,14.37,30.06,0.17,2.09,0.36,0.11,13.91,18.81,21.73,0.85,2.61,17.24,36.54,0.19,2.82,0.39,0.17,15.62,22.98,3.995
0.8,2.28,13.25,29.19,0.2,2.15,0.3,0.13,14.13,18.85,23.94,1.05,2.61,16.35,33.67,0.24,2.89,0.38,0.17,17.14,22.98,4.8075
0.93,2.45,13.37,29.7,0.16,2.56,0.31,0.14,14.78,18.93,21.63,1.56,3.23,14.64,33.74,0.21,3.1,0.37,0.2,17.02,25.84,6.3925
0.65,1.88,12.65,36.4,0.18,2.19,0.31,0.15,11.75,22.86,24.84,0.89,2.96,12.57,40.29,0.24,2.87,0.31,0.2,14.45,33.07,6.1925
0.78,2.05,15.41,30.85,0.2,2.05,0.33,0.13,12.97,15.76,21.82,1.15,2.5,17.72,35.92,0.22,2.65,0.4,0.17,15.33,20.08,3.925
0.85,1.81,13.61,29.16,0.16,2.2,0.3,0.15,12.93,18.97,20.17,1.57,2.91,13.07,35.12,0.21,2.89,0.32,0.19,15.22,29.53,7.5275
0.56,1.57,11.94,34.69,0.17,2.14,0.37,0.17,11.52,21.07,24,0.88,2.62,15.94,38.7,0.23,2.7,0.37,0.19,14.33,24.17,3.88
1.02,2,12.14,31.51,0.2,2.1,0.33,0.15,13.13,18.63,24.6,1.18,2.61,17.21,36.33,0.24,2.78,0.37,0.18,15.45,22.25,5.645
0.81,1.85,13.98,29.53,0.2,2.1,0.34,0.14,13.18,17.64,24.17,0.95,2.23,15.51,33.56,0.24,2.78,0.36,0.21,15.38,25.44,4.5975
0.61,1.67,12.84,29.41,0.16,2.05,0.37,0.16,12.88,20.32,26.52,1.08,2.58,14.52,37.06,0.17,2.76,0.34,0.2,14.45,27.15,3.4425
0.87,2.03,13.93,28.82,0.14,2.13,0.31,0.12,12.13,18.67,28.01,0.98,2.57,16.64,34.67,0.18,2.7,0.35,0.17,14.57,24.13,3.765
1.09,2.25,14.68,31.68,0.2,1.81,0.37,0.14,11.34,15.29,16.99,1.36,2.54,16.95,36.87,0.18,2.75,0.41,0.19,13.82,21.23,3.395
0.66,1.78,17.15,27.39,0.17,2.28,0.38,0.11,12.96,14.35,15.89,0.73,1.99,19.3,36.03,0.21,2.78,0.42,0.14,16.01,17.81,4.0975
0.99,3.64,5.37,32.34,0.17,2.04,0.13,0.15,12.27,27.13,19.17,1.54,2.77,17.38,37.42,0.18,2.67,0.43,0.18,14.21,20.32,3.815
0.83,1.97,17.35,28.9,0.23,2.21,0.38,0.12,13.03,13.99,27.1,1.81,3.46,14.07,36.03,0.2,2.77,0.37,0.2,15.36,24.73,3.395
0.51,2.11,15.45,31.64,0.17,2.24,0.35,0.13,12.3,16.2,23.14,1.09,2.69,17.73,36.07,0.21,2.81,0.43,0.17,14.63,19.96,2.875
0.65,2.09,12.79,33.4,0.18,2.36,0.26,0.14,11.65,20.57,22.71,1.27,2.79,16.49,39.82,0.18,2.71,0.38,0.18,13.19,22.95,3.485
0.63,2.04,15.26,36.67,0.16,2.04,0.3,0.12,11.66,17.63,19.08,0.83,2.84,19.76,39.78,0.19,2.69,0.4,0.14,14.23,18.26,3.73
0.64,2.03,16.06,29.81,0.15,2.32,0.34,0.12,13.92,16.02,23.18,1.63,2.98,16.98,33.54,0.19,3.09,0.4,0.19,18,21.71,6.245
1.03,2.26,14.99,31.84,0.17,2.1,0.37,0.15,12.52,17.18,18.49,1.42,2.87,17.1,39.98,0.19,2.82,0.42,0.19,14.36,21.86,4.61
0.91,2.08,15.33,31.33,0.13,2.09,0.37,0.14,12.34,16.86,20.36,1.21,2.49,16.95,38.87,0.18,2.83,0.4,0.19,13.44,21.85,3.6625
0.68,2.16,15.53,30.32,0.14,1.96,0.31,0.12,12.24,16.94,22.85,1.62,2.89,16.02,37.59,0.18,2.65,0.39,0.18,14.1,23.51,5.84
0.58,1.75,19,29.03,0.17,1.97,0.39,0.11,13.31,12.89,17.67,1.34,2.82,15.61,33.95,0.21,2.56,0.36,0.18,16.34,23.38,3.925
0.75,2.01,18.36,26.45,0.14,2.07,0.37,0.11,13.12,12.52,16.48,1.78,2.9,14.58,32.07,0.2,2.64,0.36,0.2,15.36,24.49,3.2
0.64,1.96,16.33,29.11,0.15,1.87,0.34,0.13,13.06,16.92,16.72,1.04,2.61,16.54,34.02,0.2,2.43,0.32,0.15,15.91,22.99,4.245
0.77,2.32,17.95,25.89,0.15,2.44,0.35,0.1,14.06,12.81,14.77,1.84,3.09,15.14,29.95,0.2,2.86,0.36,0.2,15.93,22.86,1.32
0.92,2.1,17.52,31.31,0.14,2.25,0.33,0.12,13.49,14.89,16.13,1.61,2.79,15.21,36.92,0.19,2.83,0.37,0.19,14.61,22.91,1.305
0.63,1.81,14.54,24.8,0.15,1.8,0.35,0.12,14.81,13.7,14.84,1.89,2.89,16.89,33.11,0.2,2.36,0.37,0.19,15.67,23.35,3.585
0.95,2.1,15.35,24.96,0.19,1.99,0.36,0.15,14.27,17.58,13.83,1.39,2.75,16.93,31.33,0.22,2.47,0.41,0.19,16.2,21.86,2.01
0.79,1.76,11.31,26.32,0.18,2.07,0.34,0.14,14.04,16.55,14.59,1.01,2.36,11.61,31.26,0.22,2.44,0.42,0.2,15.57,20.27,2.6575
0.95,2.18,16.82,27.15,0.17,2.31,0.26,0.17,13.76,23.2,9.8,1.55,3.16,13.9,31.73,0.17,2.45,0.29,0.23,16.5,31.66,1.9675
0.69,1.84,16.5,30.03,0.16,1.95,0.36,0.13,13.87,15.07,16.75,1.69,2.94,20.38,32.49,0.19,2.76,0.33,0.2,16.55,25.77,2.8175
0.62,2.23,16.73,28.38,0.15,2.11,0.35,0.13,12.62,15.48,18.43,0.85,2.3,16.02,34.02,0.2,2.76,0.45,0.15,16.24,14.77,2.7025
0.69,2.12,14.9,29.73,0.16,2.3,0.33,0.12,13.54,14.31,17.15,1.24,2.62,16.62,33.48,0.17,2.96,0.39,0.2,15.58,22.1,2.635
